Melbourne Metropolitan Area,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
1994 ,975 ,"95,000 ",,"101,121 ",,366 ,"77,000 ",,"130,587 ",,74 ,"52,892 ",,"56,984 ",
1995 ,969 ,"100,000 ",,"107,101 ",,248 ,"69,000 ",,"85,921 ",,75 ,"55,350 ",,"55,967 ",
1996 ,"1,089 ","105,000 ",,"109,221 ",,351 ,"63,000 ",,"78,415 ",,75 ,"57,750 ",,"54,244 ",
1997 ,"1,440 ","125,000 ",,"134,259 ",,508 ,"69,750 ",,"92,283 ",,241 ,"70,500 ",,"75,612 ",
1998 ,"1,282 ","143,750 ",,"151,848 ",,566 ,"78,000 ",,"108,463 ",,267 ,"75,000 ",,"90,701 ",
1999 ,"1,331 ","171,000 ",,"187,547 ",,670 ,"112,500 ",,"145,341 ",,390 ,"93,200 ",,"102,478 ",
2000 ,"1,328 ","190,000 ",,"203,264 ",,616 ,"136,250 ",,"168,597 ",,129 ,"90,000 ",,"103,955 ",
2001 ,"1,653 ","238,000 ",,"248,869 ",,888 ,"180,000 ",,"203,773 ",,123 ,"117,000 ",,"136,057 ",
2002 ,"1,458 ","280,000 ",,"297,091 ",,811 ,"230,000 ",,"256,818 ",,173 ,"159,000 ",,"150,335 ",
2003 ,"1,259 ","315,000 ",,"326,141 ",,652 ,"230,000 ",,"244,715 ",,167 ,"169,000 ",,"191,487 ",
2004 ,"1,081 ","317,000 ",,"332,513 ",,623 ,"268,500 ",,"276,422 ",,87 ,"195,000 ",,"215,882 ",
2005 ,"1,181 ","327,000 ",,"350,548 ",,664 ,"233,904 ",,"259,965 ",,222 ,"190,000 ",,"201,860 ",
2006 ,"1,206 ","350,500 ",,"375,857 ",,705 ,"237,000 ",,"267,728 ",,109 ,"180,000 ",,"199,473 ",
2007 ,"1,570 ","430,000 ",,"451,956 ",,"1,149 ","315,000 ",,"323,193 ",,90 ,"272,500 ",,"265,286 ",
2008 ,"1,073 ","460,000 ",,"487,018 ",,829 ,"320,000 ",,"338,485 ",,48 ,"246,250 ",,"274,777 ",
2009 ,"1,184 ","500,000 ",,"529,186 ",,"1,363 ","375,000 ",,"391,030 ",,157 ,"160,000 ",,"207,136 ",
2010 ,"1,034 ","605,000 ",,"623,936 ",,"1,186 ","410,000 ",,"431,147 ",,27 ,"169,000 ",,"220,375 ",
2011 ,969 ,"570,100 ",,"605,862 ",,886 ,"400,000 ",,"418,450 ",,14 ,"232,250 ",,"257,850 ",
2012 ,927 ,"566,300 ",,"595,651 ",,"1,033 ","410,000 ",,"418,761 ",,38 ,"292,600 ",,"335,421 ",
2013 ,"1,105 ","601,000 ",,"631,911 ",,"1,088 ","402,000 ",,"415,395 ",,90 ,"275,786 ",,"278,587 ",
2014 ,"1,139 ","670,000 ",,"700,668 ",,"1,207 ","430,000 ",,"439,020 ",,78 ,"282,311 ",,"282,402 ",
2015 ,"1,041 ","725,000 ",,"761,229 ",,"1,514 ","469,670 ",,"469,361 ",,42 ,"295,898 ",,"300,939 ",
2016 ,"1,001 ","822,000 ",,"870,845 ",,"1,324 ","465,000 ",,"478,401 ",,35 ,"400,000 ",,"497,130 ",
2017 ,"1,018 ","900,000 ",,"955,140 ",,"1,738 ","495,000 ",,"508,843 ",,23 ,"650,000 ",,"654,595 ",
2018 ,743 ,"926,000 ",,"980,204 ",,"1,182 ","503,500 ",,"515,392 ",,41 ,"439,500 ",,"485,000 ",
2019 ,847 ,"850,000 ",,"908,591 ",,943 ,"505,000 ",,"526,756 ",,101 ,"413,500 ",,"445,128 ",
2020 ,901 ,"872,000 ",,"981,862 ",,949 ,"529,000 ",,"538,301 ",,56 ,"496,500 ",,"467,875 ",
2021 ,"1,120 ","1,030,250 ",,"1,098,857 ",,"1,235 ","550,000 ",,"572,095 ",,18 ,"556,500 ",,"600,333 ",
2022 ,127 ,"1,060,000 ",,"1,107,035 ",,216 ,"520,000 ",,"556,521 ",,0 ,0 ,*,0 ,*
Statistics for 2022 are based on a small number of sales and are preliminary only.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Maribyrnong City,,,,,,,,,,,,,,,
Analysis of property sales for 2021,,,,,,,,,,,,,,,
Land Use,"No of
Sales",Mean Sales Price  ($),Median Sales Price  ($),Median Price per  Unit Area,,"Median Block
size","Price-Indices
(base is 100)",,,,"Mean Block
 size",Mean Price per  Unit Area,,,
,,,,,,,2020,,,2016,,,,,
Commercial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Dev Site,7,10027604,4840000,4923.70,,983.00,83.02<,,,193.60<,6703.29,,1495.92,,
Fuel Outlet/Garage,1,10900000,10900000,3538.96,,3080.00,ND,,,ND,3080.00,,3538.96,,
Health Clinic Unsp,4,1467500,1460000,1605.54,,819.50,ND,,,79.64<,781.75,,1877.20,,
Mixed Use Unspec,3,977666,913000,8750.00,,80.00,47.86<,,,163.21<,80.00,,8750.00,,
Office Premises Uns,11,2272033,687500,284.44,,2417.00,133.50<,,,91.67<,2357.45,,963.77,,
Pub/Tavern/Club Unsp,1,23332999,23332999,2882.75,,8094.00,ND,,,972.21<,8094.00,,2882.75,,
Reception/Function,1,15000000,15000000,2870.81,,5225.00,ND,,,ND,5225.00,,2870.81,,
Retail Mult Occ Unsp,12,19662415,1185000,5695.07,,223.00,95.95<,,,104.45<,2368.73,,470.52,,
Retail Sgle Occ Unsp,20,1513025,1063305,4603.98,,412.50,143.69<,,,96.66<,1178.19,,1164.23,,
Vehicle Sales Centre,2,6250000,6250000,823.64,,6277.50,81.17<,,,395.95<,6277.50,,995.62,,
Industrial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Factory Unsp,20,10686575,4059473,693.12,,7408.50,210.58<,,,532.39<,16937.28,,693.64,,
Ind Dev Site,3,2646666,2420000,144.05,,16800.00,145.67<,,,366.67<,14027.00,,188.68,,
Rendering Plant,1,3190000,3190000,787.85,,4049.00,93.82<,,,ND,4049.00,,787.85,,
Warehouse Unspec,23,5229000,710000,97.47,,5540.00,91.94<,,,119.53<,12397.52,,421.78,,
Infrastruc&Utilities,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
TelecomTowers Unspec,1,6930000,6930000,538.92,,12859.00,ND,,,ND,12859.00,,538.92,,
Utilities Vac Land,1,990000,990000,22500.00,,44.00,ND,,,ND,44.00,,22500.00,,
Residential,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Cojoin Strata Unsp,12,739041,651000,NA,,NA,92.34<,,,88.57<,NA,,NA,,
Detached Home Unsp,930,1133029,1090000,3144.17,,326.00,123.16<,,,117.71<,352.72,,3223.40,,
Detached Home(exist),1,800000,800000,4968.94,,161.00,ND,,,ND,161.00,,4968.94,,
Individual Car Park,17,34412,1,NA,,NA,ND,,,ND,NA,,NA,,
OYO Sub Unit,42,550238,532500,NA,,NA,101.43<,,,100.47<,NA,,NA,,
Res Dev Site,7,1998714,1661000,4377.88,,434.00,384.67<,,,379.66<,1229.00,,1626.29,,
Res Investment Flat,4,1250000,1200000,1791.04,,670.00,ND,,,84.21<,670.00,,1791.04,,
Res Land (WithBuild),28,1443510,1332500,2036.67,,691.50,119.45<,,,ND,694.25,,2079.24,,
Res/Rural Lstyle,1,553000,553000,NA,,NA,116.11<,,,104.93<,NA,,NA,,
Retire Village Unit,1,820000,820000,NA,,NA,ND,,,ND,NA,,NA,,
Semi-detached Unspec,189,932288,884000,6282.05,,156.00,110.64<,,,98.77<,166.10,,5637.73,,
Single Strata Unsp,224,695448,675000,NA,,NA,117.90<,,,150.00<,NA,,NA,,
Strata Unit/Flat Uns,795,507560,480000,NA,,NA,96.19<,,,88.97<,NA,,NA,,
Townhouse,157,697127,650000,NA,,NA,98.11<,,,92.86<,NA,,NA,,
Vac Res A,18,600333,556500,2511.16,,239.00,112.08<,,,126.62<,348.36,,1801.52,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Municipality totals  ,,,,,,,,,,,,,,,
Commercial Total,62,,,,,,Commercial Total Prices,,,,"$431,931,099 ",,,,
Industrial Total,47,,,,,,Industrial Total Prices,,,,"$345,128,519 ",,,,
Infrastruc&Utilities Total,2,,,,,,Infrastruc&Utilities Total Prices,,,,"$7,920,000 ",,,,
Residential Total,"2,426",,,,,,Residential Total Prices,,,,"$2,003,611,847 ",,,,
All Sales Total,"2,537 ",,,,,,All Sales Total,,,,,"$2,788,591,465 ",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Maroondah City,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
Year,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,
1992 ,"1,397 ","121,343 ",,"132,802 ",,536 ,"99,250 ",,"113,726 ",,397 ,"58,000 ",,"60,883 ",
1993 ,"1,371 ","120,000 ",,"130,544 ",,566 ,"99,250 ",,"109,919 ",,388 ,"65,000 ",,"64,121 ",
1994 ,"1,456 ","121,000 ",,"131,646 ",,673 ,"100,000 ",,"108,089 ",,454 ,"64,000 ",,"74,053 ",
1995 ,"1,298 ","118,425 ",,"128,548 ",,496 ,"95,000 ",,"107,388 ",,332 ,"62,250 ",,"67,807 ",
1996 ,"1,391 ","119,000 ",,"130,676 ",,669 ,"95,000 ",,"103,798 ",,344 ,"63,000 ",,"65,485 ",
1997 ,"1,769 ","127,500 ",,"138,663 ",,841 ,"100,000 ",,"110,215 ",,445 ,"70,500 ",,"78,260 ",
1998 ,"1,638 ","138,000 ",,"151,282 ",,813 ,"117,000 ",,"127,920 ",,371 ,"72,950 ",,"78,408 ",
1999 ,"1,625 ","155,000 ",,"171,416 ",,891 ,"125,000 ",,"131,122 ",,323 ,"88,000 ",,"95,936 ",
2000 ,"1,715 ","175,000 ",,"191,638 ",,"1,063 ","137,500 ",,"147,494 ",,233 ,"95,000 ",,"97,767 ",
2001 ,"1,930 ","203,500 ",,"224,617 ",,"1,097 ","159,950 ",,"170,032 ",,244 ,"102,697 ",,"107,219 ",
2002 ,"1,764 ","249,725 ",,"267,870 ",,"1,013 ","195,000 ",,"205,999 ",,128 ,"135,750 ",,"142,436 ",
2003 ,"1,605 ","282,050 ",,"301,246 ",,"1,052 ","228,000 ",,"230,657 ",,86 ,"154,500 ",,"146,200 ",
2004 ,"1,443 ","300,000 ",,"321,985 ",,897 ,"235,000 ",,"243,128 ",,81 ,"198,000 ",,"200,951 ",
2005 ,"1,574 ","313,000 ",,"331,422 ",,947 ,"245,000 ",,"254,996 ",,28 ,"146,428 ",,"172,409 ",
2006 ,"1,370 ","330,000 ",,"352,190 ",,940 ,"252,050 ",,"261,594 ",,67 ,"220,000 ",,"222,332 ",
2007 ,"1,614 ","375,250 ",,"402,219 ",,"1,171 ","280,000 ",,"294,532 ",,62 ,"246,250 ",,"244,758 ",
2008 ,"1,335 ","400,000 ",,"427,430 ",,946 ,"303,000 ",,"322,945 ",,80 ,"239,000 ",,"258,870 ",
2009 ,"1,558 ","431,000 ",,"456,693 ",,"1,138 ","339,975 ",,"356,122 ",,141 ,"279,000 ",,"266,289 ",
2010 ,"1,400 ","520,000 ",,"539,165 ",,918 ,"381,000 ",,"406,110 ",,100 ,"320,000 ",,"300,286 ",
2011 ,"1,244 ","490,000 ",,"517,445 ",,821 ,"380,888 ",,"402,836 ",,126 ,"293,250 ",,"298,652 ",
2012 ,"1,275 ","490,000 ",,"517,057 ",,929 ,"372,000 ",,"394,100 ",,117 ,"275,000 ",,"284,438 ",
2013 ,"1,459 ","532,000 ",,"552,657 ",,"1,068 ","398,000 ",,"408,769 ",,189 ,"250,000 ",,"274,471 ",
2014 ,"1,526 ","600,500 ",,"624,010 ",,"1,174 ","430,000 ",,"444,449 ",,117 ,"320,000 ",,"338,215 ",
2015 ,"1,633 ","695,000 ",,"725,398 ",,"1,270 ","470,000 ",,"491,651 ",,75 ,"409,000 ",,"424,871 ",
2016 ,"1,446 ","750,000 ",,"791,574 ",,"1,174 ","507,000 ",,"538,403 ",,38 ,"369,500 ",,"436,839 ",
2017 ,"1,342 ","860,000 ",,"916,912 ",,"1,268 ","573,696 ",,"607,237 ",,50 ,"582,500 ",,"593,904 ",
2018 ,"1,220 ","850,000 ",,"899,798 ",,823 ,"595,000 ",,"606,876 ",,46 ,"435,000 ",,"495,240 ",
2019 ,"1,215 ","789,000 ",,"820,652 ",,960 ,"583,500 ",,"604,671 ",,58 ,"400,000 ",,"490,390 ",
2020 ,"1,000 ","850,000 ",,"886,644 ",,774 ,"611,000 ",,"626,329 ",,64 ,"532,500 ",,"579,974 ",
2021 ,"1,501 ","1,000,000 ",,"1,059,054 ",,"1,266 ","675,000 ",,"697,153 ",,74 ,"658,550 ",,"682,768 ",
2022 ,192 ,"1,027,500 ",,"1,077,520 ",,161 ,"670,000 ",,"662,766 ",,6 ,"462,500 ",^,"584,166 ",^
Statistics for 2022 are based on a small number of sales and are preliminary only.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Maroondah City,,,,,,,,,,,,,,,
Analysis of property sales for 2021,,,,,,,,,,,,,,,
Land Use,"No of
Sales",Mean Sales Price  ($),Median Sales Price  ($),Median Price per  Unit Area,,"Median Block
size","Price-Indices
(base is 100)",,,,"Mean Block
 size",Mean Price per  Unit Area,,,
,,,,,,,2020,,,2016,,,,,
Commercial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Dev Site,2,275000,275000,1498.92,,183.50,13.23<,,,24.63<,183.50,,1498.64,,
Health Clinic Unsp,3,1395000,1075000,1198.44,,897.00,44.79<,,,138.71<,930.33,,1499.46,,
Health Surgery,1,9570000,9570000,1381.75,,6926.00,410.73<,,,797.50<,6926.00,,1381.75,,
Mixed Use Unspec,1,690000,690000,NA,,NA,ND,,,11.87<,NA,,NA,,
Multi-Lvl Offic Unsp,5,462200,495000,809.52,,630.00,ND,,,46.05<,1450.60,,318.63,,
Office Premises Uns,13,851492,636900,1370.76,,776.50,172.14<,,,111.35<,1131.30,,798.59,,
Pub/Tavern/Club Unsp,2,935000,935000,4461.64,,213.50,48.20<,,,97.91<,213.50,,4379.39,,
Retail Mult Occ Unsp,3,945666,800000,2779.07,,258.00,48.48<,,,94.12<,246.33,,3838.97,,
Retail Sgle Occ Unsp,21,1042190,820000,3533.83,,399.00,96.24<,,,91.11<,1598.53,,697.55,,
Shop,2,576250,576250,7473.68,,95.00,ND,,,ND,95.00,,7473.68,,
Supermarket,1,1870000,1870000,2615.38,,715.00,ND,,,21.99<,715.00,,2615.38,,
Vehicle Sales Centre,3,7653333,7260000,2783.74,,2608.00,ND,,,686.52<,4195.33,,1824.25,,
Community Services,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Day Care Centre,1,8200888,8200888,4890.21,,1677.00,137.83<,,,ND,1677.00,,4890.21,,
NonGov School Unsp,1,1085000,1085000,627.17,,1730.00,ND,,,ND,1730.00,,627.17,,
Religious Hall,1,3685000,3685000,919.41,,4008.00,ND,,,ND,4008.00,,919.41,,
Religious Residence,1,1297000,1297000,242.16,,5356.00,ND,,,ND,5356.00,,242.16,,
Industrial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Factory Unsp,90,971839,533500,257.61,,2038.00,120.98<,,,104.30<,3936.68,,277.34,,
Ind Dev Site,1,660000,660000,722.89,,913.00,21.82<,,,47.06<,913.00,,722.89,,
Office/Factory,1,1000000,1000000,NA,,NA,ND,,,ND,NA,,NA,,
Warehouse Store,2,23535000,23535000,2376.37,,8980.00,ND,,,ND,8980.00,,2620.82,,
Warehouse Unspec,25,945568,575000,174.70,,3113.50,46.00<,,,100.52<,2559.19,,376.42,,
Infrastruc&Utilities,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Closed Roads,2,41805,41805,437.14,,73.00,190.02<,,,339.33<,73.00,,437.14,,
Utilities Vac Land,1,12320,12320,154.00,,80.00,ND,,,ND,80.00,,154.00,,
Residential,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Cojoin Strata Unsp,2,775750,775750,NA,,NA,ND,,,ND,NA,,NA,,
Detached Home Unsp,1489,1061328,1000000,1044.96,,784.00,117.65<,,,117.65<,788.60,,1349.72,,
Individual Car Park,2,1,1,NA,,NA,ND,,,ND,NA,,NA,,
Individual Flat,21,837759,818000,NA,,NA,108.70<,,,111.29<,NA,,NA,,
Res Investment Flat,4,1553752,1525005,1644.99,,769.00,42.13<,,,ND,769.00,,1644.99,,
Res Land (WithBuild),49,1293081,1275000,1325.18,,981.00,133.37<,,,118.60<,1103.02,,1172.31,,
Res/Rural Lstyle,12,2192708,1782500,563.55,,4700.00,92.36<,,,146.47<,7249.25,,302.47,,
Retire Village Unit,42,542357,539999,NA,,NA,95.58<,,,99.08<,NA,,NA,,
Semi-detached Unspec,12,776916,800000,3142.64,,255.00,112.68<,,,91.43<,663.75,,1170.50,,
Single Strata Unsp,903,716871,700000,3180.26,,233.00,111.51<,,,120.69<,233.00,,3180.26,,
Strata Unit/Flat Uns,315,649891,560000,2787.77,,278.00,102.75<,,,90.63<,278.00,,2787.77,,
Vac Res A,70,675340,658550,1689.19,,592.00,125.44<,,,156.80<,676.48,,1008.07,,
Vac Res B,4,812750,737500,258.64,,2088.50,86.46<,,,76.82<,2133.25,,380.99,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Municipality totals  ,,,,,,,,,,,,,,,
Commercial Total,57,,,,,,Commercial Total Prices,,,,"$80,950,900 ",,,,
Community Services Total,4,,,,,,Community Services Total Prices,,,,"$14,267,888 ",,,,
Industrial Total,119,,,,,,Industrial Total Prices,,,,"$159,834,715 ",,,,
Infrastruc&Utilities Total,3,,,,,,Infrastruc&Utilities Total Prices,,,,"$95,931 ",,,,
Residential Total,"2,925",,,,,,Residential Total Prices,,,,"$2,630,028,340 ",,,,
All Sales Total,"3,108 ",,,,,,All Sales Total,,,,,"$2,885,177,774 ",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Melbourne City,,,,,,,,,,,,,,,
Residential price statistics 1992 to 2022,,,,,,,,,,,,,,,
House Median,,,,,,Unit/Apartment Median,,,,,Vacant House Block Median,,,,
,,Houses,,,,Units/Apartments,,,,,Vacant House Blocks,,,,
Year,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,,No. of Sales,Median Price,,Mean Price,
1992 ,411 ,"150,000 ",,"202,498 ",,"1,003 ","177,000 ",,"201,056 ",,13 ,"85,000 ",,"134,320 ",
1993 ,416 ,"147,500 ",,"205,415 ",,"1,765 ","183,000 ",,"209,363 ",,25 ,"67,000 ",,"155,386 ",
1994 ,448 ,"170,500 ",,"232,751 ",,"1,787 ","188,000 ",,"225,434 ",,37 ,"82,000 ",,"127,599 ",
1995 ,429 ,"163,000 ",,"228,711 ",,"1,372 ","204,250 ",,"233,435 ",,38 ,"70,250 ",,"81,781 ",
1996 ,547 ,"160,000 ",,"207,030 ",,"1,670 ","205,000 ",,"242,509 ",,104 ,"52,000 ",,"68,570 ",
1997 ,685 ,"197,000 ",,"250,474 ",,"2,422 ","190,000 ",,"232,147 ",,170 ,"53,000 ",,"69,560 ",
1998 ,520 ,"224,250 ",,"284,417 ",,"3,010 ","200,000 ",,"243,719 ",,158 ,"59,000 ",,"74,144 ",
1999 ,553 ,"271,000 ",,"341,436 ",,"4,769 ","231,000 ",,"287,236 ",,131 ,"75,000 ",,"109,498 ",
2000 ,537 ,"300,000 ",,"394,731 ",,"4,051 ","281,412 ",,"354,423 ",,76 ,"82,000 ",,"114,576 ",
2001 ,631 ,"341,500 ",,"430,541 ",,"6,026 ","323,000 ",,"376,139 ",,58 ,"100,000 ",,"135,802 ",
2002 ,553 ,"400,000 ",,"528,292 ",,"5,467 ","345,000 ",,"405,765 ",,19 ,"96,000 ",,"115,013 ",
2003 ,508 ,"435,000 ",,"573,695 ",,"3,860 ","340,000 ",,"397,675 ",,1 ,"84,000 ",^,"84,000 ",^
2004 ,422 ,"470,000 ",,"656,109 ",,"3,323 ","319,000 ",,"371,945 ",,6 ,"176,187 ",^,"185,812 ",^
2005 ,477 ,"460,000 ",,"646,406 ",,"3,726 ","322,000 ",,"393,455 ",,4 ,"280,000 ",^,"286,500 ",^
2006 ,469 ,"532,000 ",,"762,290 ",,"4,189 ","353,000 ",,"442,731 ",,14 ,"260,000 ",,"264,121 ",
2007 ,571 ,"650,000 ",,"927,351 ",,"6,099 ","391,125 ",,"521,013 ",,5 ,"354,000 ",^,"294,800 ",^
2008 ,341 ,"615,000 ",,"873,948 ",,"5,097 ","410,000 ",,"482,987 ",,1 ,"307,500 ",^,"307,500 ",^
2009 ,383 ,"660,000 ",,"904,350 ",,"5,805 ","430,000 ",,"498,933 ",,2 ,"150,760 ",^,"150,760 ",^
2010 ,324 ,"802,500 ",,"1,053,402 ",,"7,704 ","495,000 ",,"571,164 ",,7 ,"347,000 ",^,"676,785 ",^
2011 ,380 ,"750,000 ",,"1,051,846 ",,"6,437 ","500,000 ",,"568,091 ",,5 ,"330,000 ",^,"524,800 ",^
2012 ,345 ,"740,000 ",,"1,013,078 ",,"5,651 ","497,000 ",,"557,961 ",,6 ,"445,250 ",^,"585,333 ",^
2013 ,423 ,"815,000 ",,"1,111,837 ",,"7,716 ","515,895 ",,"592,389 ",,9 ,"320,000 ",^,"367,944 ",^
2014 ,382 ,"915,000 ",,"1,273,009 ",,"11,261 ","526,500 ",,"584,326 ",,1 ,"515,000 ",^,"515,000 ",^
2015 ,401 ,"956,000 ",,"1,300,231 ",,"10,349 ","574,000 ",,"652,080 ",,2 ,"565,500 ",^,"565,500 ",^
2016 ,377 ,"1,169,000 ",,"1,654,392 ",,"7,570 ","589,000 ",,"713,189 ",,4 ,"956,500 ",^,"846,750 ",^
2017 ,332 ,"1,370,000 ",,"1,890,174 ",,"6,773 ","575,000 ",,"682,235 ",,7 ,"900,000 ",^,"963,571 ",^
2018 ,304 ,"1,272,000 ",,"1,837,681 ",,"4,531 ","566,000 ",,"680,968 ",,6 ,"488,750 ",^,"784,879 ",^
2019 ,274 ,"1,295,000 ",,"1,602,608 ",,"3,828 ","578,000 ",,"706,275 ",,1 ,"560,000 ",^,"560,000 ",^
2020 ,224 ,"1,300,000 ",,"1,917,029 ",,"2,832 ","580,000 ",,"715,753 ",,0 ,0 ,*,0 ,*
2021 ,399 ,"1,352,000 ",,"1,799,623 ",,"3,777 ","557,500 ",,"702,729 ",,4 ,"1,387,500 ",^,"1,788,750 ",^
2022 ,58 ,"1,378,500 ",,"1,825,032 ",,789 ,"540,000 ",,"625,384 ",,0 ,0 ,*,0 ,*
Statistics for 2022 are based on a small number of sales and are preliminary only.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Melbourne City,,,,,,,,,,,,,,,
Analysis of property sales for 2021,,,,,,,,,,,,,,,
Land Use,"No of
Sales",Mean Sales Price  ($),Median Sales Price  ($),Median Price per  Unit Area,,"Median Block
size","Price-Indices
(base is 100)",,,,"Mean Block
 size",Mean Price per  Unit Area,,,
,,,,,,,2020,,,2016,,,,,
Commercial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Com Land (Struct 0),3,6936666,9405000,27103.75,,347.00,ND,,,34.44<,335.00,,20706.47,,
Dev Site,2,27689687,27689687,20544.12,,170.00,2637.11<,,,71.92<,170.00,,20544.12,,
Fuel Outlet/Garage,2,19060000,19060000,6458.56,,929.00,ND,,,365.34<,929.00,,6458.56,,
Hotel/Motel Unsp,2,24343023,24343023,25139.40,,1104.00,118.75<,,,ND,1104.00,,22049.84,,
Indiv CarPark Unspe,21,63571,30000,NA,,NA,91.60<,,,69.77<,NA,,NA,,
LowRise Office Build,2,56300000,56300000,9277.85,,12216.50,673.26<,,,712.66<,12216.50,,4608.52,,
Mixed Use Unspec,12,6431622,2056817,7718.28,,691.00,179.63<,,,136.89<,959.11,,7676.61,,
Mixed Use Workroom,1,28000,28000,NA,,NA,ND,,,ND,NA,,NA,,
Multi-Lvl Offic Unsp,9,190880329,138747768,125649.01,,3852.00,173.43<,,,113.73<,3057.80,,63748.97,,
Multi-storey CarPark,1,80800000,80800000,36380.01,,2221.00,ND,,,92.77<,2221.00,,36380.01,,
National Co Ret Unsp,1,25826744,25826744,NA,,NA,14.35<,,,ND,NA,,NA,,
Office 4 to 50 Lvls,2,55900000,55900000,78623.19,,1104.00,12.67<,,,87.34<,1104.00,,78623.19,,
Office Premises Uns,177,2687136,660000,7718.28,,691.00,118.40<,,,125.95<,1453.18,,2401.59,,
Pub/Tavern/Club Unsp,4,2953650,2960000,18220.34,,154.00,157.87<,,,46.98<,1799.00,,1641.83,,
Restaurant,1,1360000,1360000,12142.86,,112.00,ND,,,ND,112.00,,12142.86,,
Retail Mult Occ Unsp,5,14902097,10500000,30873.58,,917.50,216.16<,,,234.17<,1588.00,,10974.57,,
Retail Sgle Occ Unsp,57,4436336,1580000,7718.28,,691.00,105.33<,,,94.33<,1677.39,,2226.52,,
Serv Apt/Unit Unsp,47,338202,335000,298.47,,913.00,113.95<,,,75.83<,1173.25,,255.70,,
Shop,2,1040000,1040000,739.30,,2278.50,ND,,,119.54<,2278.50,,456.44,,
Strata/Subdiv Office,1,640000,640000,152.24,,4204.00,ND,,,ND,4204.00,,152.24,,
Supermarket,1,4325000,4325000,6304.66,,686.00,37.53<,,,ND,686.00,,6304.66,,
Vehicle Rental Centr,1,1235714,1235714,630.47,,1960.00,ND,,,ND,1960.00,,630.47,,
Community Services,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
University,2,22275000,22275000,31136.55,,632.50,40.77<,,,24.70<,632.50,,35217.39,,
Industrial,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Factory Unsp,4,4257465,2856000,7831.50,,364.50,141.04<,,,52.36<,382.00,,11145.20,,
Ind Dev Site,1,3000000,3000000,4893.96,,613.00,53.48<,,,74.40<,613.00,,4893.96,,
Ind Land Building $0,1,4500000,4500000,15679.44,,287.00,ND,,,ND,287.00,,15679.44,,
Warehouse Unspec,7,11101214,3275000,8159.49,,349.00,198.00<,,,97.62<,1251.00,,5423.46,,
Warehouse/Office,15,4393825,1320000,5097.77,,275.00,7.60<,,,ND,8890.18,,632.13,,
Residential,,,,,,($/SM),(SM),,,,(SM),,($/SM),,
Cojoin Strata Unsp,3,1835000,1625000,NA,,NA,94.48<,,,150.39<,NA,,NA,,
Detached Home Unsp,371,1831017,1370000,12730.06,,163.00,103.71<,,,107.54<,200.27,,9027.35,,
Individual Car Park,271,42837,22000,NA,,NA,53.66<,,,40.00<,NA,,NA,,
Individual Flat,3,2935000,2000000,19764.01,,339.00,73.87<,,,ND,339.00,,19764.01,,
MisImpRuralLand Unsp,1,4500,4500,1.19,,3791.00,ND,,,ND,3791.00,,1.19,,
OYO Stratum Flat,1,190000,190000,NA,,NA,ND,,,30.35<,NA,,NA,,
Res Investment Flat,7,4181315,3887500,12666.67,,300.00,203.53<,,,148.10<,312.33,,14308.12,,
Residential Airspace,1,15000,15000,NA,,NA,ND,,,ND,NA,,NA,,
ResLandWithImprovemt,73,37986,12500,21.36,,1264.00,108.70<,,,115.47<,6591.00,,23.74,,
Semi-detached Unspec,27,1408967,1285000,9554.33,,147.00,131.66<,,,104.81<,152.79,,9324.41,,
Single Strata Unit,23,477217,440000,NA,,NA,100.00<,,,ND,NA,,NA,,
